sub,ses,task,edf_start,edf_duration_s,edf_n_signals,edf_fs,json_fs,json_duration_s,n_events,first_event_s,last_event_s,ecg_exists,button_exists,ecg_fs,ecg_duration_s,ecg_start_declared
sub-016,ses-03,full,2024-02-12 12:04:38,215.999568,33,250.00050000099998,250.00055565156606,215.999568,73,25.0,203.5,True,False,1793.024266753946,215.00043649598956,0.0
sub-016,ses-03,mentalarithmetic,2024-02-12 08:49:24,215.999568,33,250.00050000099998,250.00055565156606,215.999568,73,25.0,203.5,True,False,1793.024266753946,215.00043649598956,0.0
sub-016,ses-03,motorimagery,2023-12-19 16:28:12,215.999568,33,250.00050000099998,250.00055565156606,215.999568,19,25.0,198.0,True,False,1793.024266753946,215.00043649598956,0.0
sub-016,ses-03,nback,2023-12-12 16:59:00,215.999568,33,250.00050000099998,250.00055565156606,215.999568,121,25.0,204.5,True,True,1793.024266753946,215.00043649598956,0.0
sub-016,ses-03,nbackarithmetic,2024-02-12 09:45:42,215.999568,33,250.00050000099998,250.00055565156606,215.999568,73,25.0,203.5,True,True,1793.024266753946,215.00043649598956,0.0
sub-017,ses-01,activemotor,2024-02-14 16:15:20,215.999784,33,250.00025000025002,250.0003082681523,215.99978399999998,19,25.0,199.0,True,False,1815.4197713610383,215.00041266344488,0.0
sub-017,ses-01,full,2024-02-12 12:05:07,215.999784,33,250.00025000025002,250.0003082681523,215.99978399999998,73,25.0,203.5,True,False,1815.4197713610383,215.00041266344488,0.0
sub-017,ses-01,mentalarithmetic,2024-02-12 08:49:53,215.999784,33,250.00025000025002,250.0003082681523,215.99978399999998,73,25.0,203.5,True,False,1815.4197713610383,215.00041266344488,0.0
sub-017,ses-01,motorimagery,2023-12-19 16:29:30,215.999784,33,250.00025000025002,250.0003082681523,215.99978399999998,19,25.0,200.0,True,False,1815.4197713610383,215.00041266344488,0.0
sub-017,ses-01,nback,2023-12-12 17:00:21,215.999784,33,250.00025000025002,250.0003082681523,215.99978399999998,121,25.0,204.5,True,True,1815.4197713610383,215.00041266344488,0.0
sub-017,ses-01,nbackarithmetic,2024-02-12 09:46:13,215.999784,33,250.00025000025002,250.0003082681523,215.99978399999998,73,25.0,203.5,True,True,1815.4197713610383,215.00041266344488,0.0
sub-017,ses-01,passivemotor,2024-02-19 13:25:49,215.999784,33,250.00025000025002,250.0003082681523,215.99978399999998,19,25.0,194.0,True,False,1815.4197713610383,215.00041266344488,0.0
