sub,ses,task,eeg_fs,n_bins,eeg_ok_bins,eeg_std_uV_median,ecg_beats,ecg_coverage,hr_file,rmssd_file,clock_source
sub-003,ses-03,full,250.00050000099998,21,20,558.4862362358427,240,0.9964920200509738,67.21240490583007,85.7720369792494,declared_unverified
sub-003,ses-03,mentalarithmetic,250.00050000099998,21,20,580.9213107175678,199,0.9896923699084915,55.83120312750524,107.66759535181818,declared_unverified
sub-003,ses-03,motorimagery,250.00050000099998,21,20,542.1477799034054,199,0.9878443322141655,55.9356509281703,110.3116766030043,declared_unverified
sub-003,ses-03,nback,250.00050000099998,21,19,554.1800027807243,208,0.9760060754826999,59.1874790863103,109.6451159063543,event_matched
sub-003,ses-03,nbackarithmetic,250.00050000099998,21,20,584.6836312660787,224,0.9948461849542458,62.83535861123758,101.88819919999263,declared_unverified
sub-003,ses-03,passivemotor,250.00050000099998,21,20,561.7641560735575,192,0.9936000526667231,53.9264263984979,108.8496303966201,declared_unverified
sub-004,ses-01,activemotor,250.00025000025002,21,20,1544.064774583684,267,0.9994470315003801,74.55276713234315,29.030529782132813,declared_unverified
sub-004,ses-01,full,250.00025000025002,21,20,1731.106852287517,289,0.9962092244557966,80.95796305583018,24.67635858515356,declared_unverified
sub-004,ses-01,mentalarithmetic,250.00025000025002,21,20,1838.7528393963817,290,0.9964539424300966,81.21814324598645,21.667175025433238,declared_unverified
sub-004,ses-01,motorimagery,250.00025000025002,21,20,1856.3142385980384,272,0.9955927234051565,76.24291262964437,29.271167329722694,declared_unverified
sub-004,ses-01,nback,250.00025000025002,21,20,1547.5360593529517,287,0.9730951411716814,82.30739966807329,25.03104950699259,event_matched
sub-004,ses-01,nbackarithmetic,250.00025000025002,21,20,1699.9838147521566,281,0.9752881907105998,80.40547888995371,24.66020417736282,event_matched
sub-004,ses-01,passivemotor,250.00025000025002,21,20,2159.22636507167,265,0.9966374809108215,74.20291161745395,31.76267515847239,declared_unverified
sub-004,ses-02,activemotor,250.00075000225,21,20,1264.1985387078564,269,0.9934061444472421,75.56803382315204,28.35923007157061,declared_unverified
sub-004,ses-02,full,250.00075000225,21,20,1214.6496685237994,285,0.9940926085159549,80.00749993701864,24.52404834037322,declared_unverified
sub-004,ses-02,mentalarithmetic,250.00075000225,21,20,1333.3106556484324,280,0.9940783566667775,78.60498651083756,25.84936736289528,declared_unverified
sub-004,ses-02,motorimagery,250.00075000225,21,20,1191.9809550758894,270,0.9885035083302058,75.66050984554325,72.75002540613121,declared_unverified
sub-004,ses-02,nback,250.00075000225,21,20,1447.045775759155,278,0.9934774036931292,78.0907307296765,23.944566008072382,declared_unverified
sub-004,ses-02,passivemotor,250.00075000225,21,20,1400.418626773459,271,0.9943182627945976,76.06004169112651,26.724881420038482,declared_unverified
sub-004,ses-03,activemotor,250.00075000225,21,20,1723.2710857859772,270,0.9962822119776508,75.62985239446897,26.797154349655127,declared_unverified
sub-004,ses-03,full,250.00075000225,21,19,1159.2552632310683,282,0.9962231994693596,78.99585830734969,23.17164251495499,declared_unverified
sub-004,ses-03,mentalarithmetic,250.00075000225,21,19,1163.1425194583844,274,0.9943347992040393,76.90061072709622,69.92842353424568,declared_unverified
sub-004,ses-03,motorimagery,250.00075000225,21,20,1198.3245695750013,272,0.9944669872226117,76.32914511576263,75.29345432189874,declared_unverified
sub-004,ses-03,nback,250.00075000225,21,20,1171.2212923663074,273,0.9796454056401795,77.76883729014845,33.270219528555494,event_matched
sub-004,ses-03,nbackarithmetic,250.00075000225,21,20,1123.5450225015404,275,0.9742162548773838,78.7751406471625,31.02883227711777,event_matched
sub-004,ses-03,passivemotor,250.00075000225,21,20,940.4108444958337,0,,,,declared_unverified
sub-005,ses-01,activemotor,250.0,21,20,750.2061789212918,237,0.994407175114112,66.51146937539237,38.8265058837462,declared_unverified
sub-005,ses-01,full,250.0,21,20,911.7017938552747,246,0.9860543178257347,69.33901865781408,40.862002791153856,declared_unverified
sub-005,ses-01,mentalarithmetic,250.0,21,20,1098.7287308482812,242,0.9947685501826278,67.88999319619538,39.452658791680804,declared_unverified
sub-005,ses-01,motorimagery,250.0,21,20,1332.542505570375,241,0.9936601716167776,67.68487102423896,46.211377458885785,declared_unverified
sub-005,ses-01,nback,250.0,21,20,862.2452448865753,231,0.9939245332440809,64.85911449289459,37.044698647925976,declared_unverified
sub-005,ses-01,nbackarithmetic,250.0,21,20,1325.5518300227648,241,0.994351392385415,67.63782006324791,42.52499452087524,declared_unverified
sub-005,ses-01,passivemotor,250.0,21,20,2395.3133324145833,229,0.9950498891621434,64.22484611401731,45.407856376154726,declared_unverified
sub-005,ses-02,activemotor,250.00025000025002,21,20,1900.0848723581905,244,0.9958051291829536,68.37975604751428,36.55286777220924,declared_unverified
sub-005,ses-02,full,250.00025000025002,21,20,1799.4056029682727,243,0.9931523500810373,68.28140968320392,46.62468756532219,declared_unverified
